id,problem_id,input_data,expected_output,is_sample,explanation
P00001_TC1,P00001,"""6
60 11 2 84 42 52""",2,True,"""The minimum value in [60, 11, 2, 84, 42, 52] is 2. (problem P00001)"""
P00001_TC2,P00001,46 18 34 17 32 9 29 50,235,False,Additional variant testcase for P00001.
P00001_TC3,P00001,37 4 8 8 38 26 1 49 13,49,False,Additional variant testcase for P00001.
P00002_TC1,P00002,"""10
23 91 4 48 47 34 21 85 2 25""",380,True,Add all elements: 380. (problem P00002)
P00002_TC2,P00002,6 33 26 14 46 14 25 2,166,False,Additional variant testcase for P00002.
P00002_TC3,P00002,16 42 37 17 13 49 26 41 48,49,False,Additional variant testcase for P00002.
P00003_TC1,P00003,"""12
62 23 96 23 90 53 67 98 68 18 37 41""",41 37 18 68 98 67 53 90 23 96 23 62,True,Reverse the order of the elements. (problem P00003)
P00003_TC2,P00003,35 47 6 38 19 33 9 30,217,False,Additional variant testcase for P00003.
P00003_TC3,P00003,31 33 43 4 29 45 38 33 36,45,False,Additional variant testcase for P00003.
P00004_TC1,P00004,"""9 3
50 48 65 1 61 88 59 56 49""",59 56 49 50 48 65 1 61 88,True,Rotate the array right by 3. (problem P00004)
P00004_TC2,P00004,39 32 36 16 43 11 36 2,215,False,Additional variant testcase for P00004.
P00004_TC3,P00004,38 11 19 34 35 5 3 39 28,39,False,Additional variant testcase for P00004.
P00005_TC1,P00005,"""7 3
43 48 36 59 57 75 26""",191,True,Scan all subarrays of size 3. (problem P00005)
P00005_TC2,P00005,25 28 8 37 12 25 32 21,188,False,Additional variant testcase for P00005.
P00005_TC3,P00005,43 28 19 8 4 22 27 49 12,49,False,Additional variant testcase for P00005.
P00006_TC1,P00006,"""5
75 86 85 60 16""",75 60 85 86 16,True,Swap values at indices 1 and 3. (problem P00006)
P00006_TC2,P00006,5 19 23 1 3 37 32 45,165,False,Additional variant testcase for P00006.
P00006_TC3,P00006,25 5 3 40 41 47 18 29 34,47,False,Additional variant testcase for P00006.
P00007_TC1,P00007,"""11
17 14 51 73 72 92 25 53 95 47 92""",95,True,"""The maximum value in [17, 14, 51, 73, 72, 92, 25, 53, 95, 47, 92] is 95. (problem P00007)"""
P00007_TC2,P00007,20 43 37 33 42 10 17 30,232,False,Additional variant testcase for P00007.
P00007_TC3,P00007,21 5 48 23 6 36 3 8 7,48,False,Additional variant testcase for P00007.
P00008_TC1,P00008,"""6
47 47 67 74 7 72""",7,True,"""The minimum value in [47, 47, 67, 74, 7, 72] is 7. (problem P00008)"""
P00008_TC2,P00008,12 21 3 10 50 13 32 18,159,False,Additional variant testcase for P00008.
P00008_TC3,P00008,31 16 15 29 19 34 1 24 18,34,False,Additional variant testcase for P00008.
P00009_TC1,P00009,"""9
22 9 5 64 90 40 93 79 80""",482,True,Add all elements: 482. (problem P00009)
P00009_TC2,P00009,2 28 33 40 1 11 21 46,182,False,Additional variant testcase for P00009.
P00009_TC3,P00009,1 12 15 20 23 45 43 35 38,45,False,Additional variant testcase for P00009.
P00010_TC1,P00010,"""5
77 74 76 53 2""",2 53 76 74 77,True,Reverse the order of the elements. (problem P00010)
P00010_TC2,P00010,3 41 17 13 19 25 7 49,174,False,Additional variant testcase for P00010.
P00010_TC3,P00010,24 36 33 12 41 25 12 3 21,41,False,Additional variant testcase for P00010.
P00011_TC1,P00011,"""9 5
72 97 8 40 59 17 6 49 13""",59 17 6 49 13 72 97 8 40,True,Rotate the array right by 5. (problem P00011)
P00011_TC2,P00011,48 2 14 12 15 36 44 45,216,False,Additional variant testcase for P00011.
P00011_TC3,P00011,28 21 2 10 13 38 2 32 15,38,False,Additional variant testcase for P00011.
P00012_TC1,P00012,"""6 2
61 10 14 69 72 78""",150,True,Scan all subarrays of size 2. (problem P00012)
P00012_TC2,P00012,17 12 14 39 13 7 36 43,181,False,Additional variant testcase for P00012.
P00012_TC3,P00012,44 17 7 13 6 42 40 39 13,44,False,Additional variant testcase for P00012.
P00013_TC1,P00013,"""11
89 2 92 72 33 37 77 41 83 75 96""",41 2 92 72 33 37 77 89 83 75 96,True,Swap values at indices 0 and 7. (problem P00013)
P00013_TC2,P00013,42 3 28 9 12 24 12 12,142,False,Additional variant testcase for P00013.
P00013_TC3,P00013,16 7 20 30 45 42 15 27 32,45,False,Additional variant testcase for P00013.
