id,title,difficulty,level,topic,platform,statement,description,input_format,output_format,constraints,sample_input,sample_output,sample_explanation,time_limit_ms,memory_limit_mb,submissions,acceptance_rate,updated_at,kind,family
P00001,Find Minimum in Array - Easy #1,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 6. Second line: 6 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","6
60 11 2 84 42 52",2,"The minimum value in [60, 11, 2, 84, 42, 52] is 2. (problem P00001)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00002,Sum of Array Elements - Easy #2,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 7. Second line: 7 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","10
23 91 4 48 47 34 21 85 2 25",380,Add all elements: 380. (problem P00002),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00003,Reverse an Array - Easy #3,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 8. Second line: 8 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","12
62 23 96 23 90 53 67 98 68 18 37 41",41 37 18 68 98 67 53 90 23 96 23 62,Reverse the order of the elements. (problem P00003),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00004,Rotate Array by 2 - Easy #4,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, rotate it by 2 positions to the right.",Practice array manipulation: rotate array.,First line: n = 9. Second line: 9 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","9 3
50 48 65 1 61 88 59 56 49",59 56 49 50 48 65 1 61 88,Rotate the array right by 3. (problem P00004),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00005,Max Subarray Sum (Window 3) - Easy #5,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, find the maximum sum of any subarray of size 3.",Practice array manipulation: find subarray.,First line: n = 10. Second line: 10 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","7 3
43 48 36 59 57 75 26",191,Scan all subarrays of size 3. (problem P00005),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00006,Swap Elements in Array - Easy #6,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, swap elements at indices 6 and 1 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 11. Second line: 11 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","5
75 86 85 60 16",75 60 85 86 16,Swap values at indices 1 and 3. (problem P00006),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00007,Find Maximum in Array - Easy #7,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 12. Second line: 12 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","11
17 14 51 73 72 92 25 53 95 47 92",95,"The maximum value in [17, 14, 51, 73, 72, 92, 25, 53, 95, 47, 92] is 95. (problem P00007)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00008,Find Minimum in Array - Easy #8,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 5. Second line: 5 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","6
47 47 67 74 7 72",7,"The minimum value in [47, 47, 67, 74, 7, 72] is 7. (problem P00008)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00009,Sum of Array Elements - Easy #9,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 6. Second line: 6 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","9
22 9 5 64 90 40 93 79 80",482,Add all elements: 482. (problem P00009),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00010,Reverse an Array - Easy #10,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 7. Second line: 7 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","5
77 74 76 53 2",2 53 76 74 77,Reverse the order of the elements. (problem P00010),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00011,Rotate Array by 3 - Easy #11,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 8 integers, rotate it by 3 positions to the right.",Practice array manipulation: rotate array.,First line: n = 8. Second line: 8 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","9 5
72 97 8 40 59 17 6 49 13",59 17 6 49 13 72 97 8 40,Rotate the array right by 5. (problem P00011),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00012,Max Subarray Sum (Window 2) - Easy #12,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 9 integers, find the maximum sum of any subarray of size 2.",Practice array manipulation: find subarray.,First line: n = 9. Second line: 9 space-separated integers.,Print the maximum subarray sum.,"1 <= n <= 100
1 <= array elements <= 1000","6 2
61 10 14 69 72 78",150,Scan all subarrays of size 2. (problem P00012),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00013,Swap Elements in Array - Easy #13,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 10 integers, swap elements at indices 3 and 6 and print the result.",Practice array manipulation: two pointer approach.,First line: n = 10. Second line: 10 space-separated integers.,Print the array after swapping.,"1 <= n <= 100
1 <= array elements <= 1000","11
89 2 92 72 33 37 77 41 83 75 96",41 2 92 72 33 37 77 89 83 75 96,Swap values at indices 0 and 7. (problem P00013),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00014,Find Maximum in Array - Easy #14,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 11 integers, find and print the maximum element.",Practice array manipulation: find maximum.,First line: n = 11. Second line: 11 space-separated integers.,Print the maximum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","11
72 43 74 64 63 53 66 45 21 22 6",74,"The maximum value in [72, 43, 74, 64, 63, 53, 66, 45, 21, 22, 6] is 74. (problem P00014)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00015,Find Minimum in Array - Easy #15,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 12 integers, find and print the minimum element.",Practice array manipulation: find minimum.,First line: n = 12. Second line: 12 space-separated integers.,Print the minimum value in the array.,"1 <= n <= 100
1 <= array elements <= 1000","5
58 89 75 40 17",17,"The minimum value in [58, 89, 75, 40, 17] is 17. (problem P00015)",2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00016,Sum of Array Elements - Easy #16,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 5 integers, calculate and print the total sum.",Practice array manipulation: calculate sum.,First line: n = 5. Second line: 5 space-separated integers.,Print the sum of all array elements.,"1 <= n <= 100
1 <= array elements <= 1000","10
78 30 65 20 40 13 89 54 1 90",480,Add all elements: 480. (problem P00016),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00017,Reverse an Array - Easy #17,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 6 integers, print the array in reverse order.",Practice array manipulation: reverse array.,First line: n = 6. Second line: 6 space-separated integers.,Print the reversed array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","12
80 32 86 85 74 72 91 72 83 54 17 82",82 17 54 83 72 91 72 74 85 86 32 80,Reverse the order of the elements. (problem P00017),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
P00018,Rotate Array by 1 - Easy #18,Easy,Beginner,"[""Programming Basics""]",CodingStar,"Given an array of 7 integers, rotate it by 1 positions to the right.",Practice array manipulation: rotate array.,First line: n = 7. Second line: 7 space-separated integers.,Print the rotated array separated by spaces.,"1 <= n <= 100
1 <= array elements <= 1000","6 4
95 42 14 67 94 34",14 67 94 34 95 42,Rotate the array right by 4. (problem P00018),2000,256,0,,2026-05-21T12:12:20Z,algorithm,basics
